sample_time_sec,fps,memory_static_mb,node_count,object_count,creature_count,grass_count,grass_spread_per_sec,grass_neighbor_checks_per_sec,grass_spawned_per_sec,grazing_searches_per_sec,grazing_candidate_checks_per_sec,grazing_footprint_queries_per_sec,creature_physics_ticks_per_sec,predator_prey_searches_per_sec,predator_prey_candidates_per_sec,path_calls_per_sec,path_expanded_tiles_per_sec,path_success_per_sec,path_failed_per_sec,path_capped_per_sec,grazing_candidate_unreachable_per_sec
3.00,2250.0,86.92,96,1858,3,4,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0
4.00,2381.0,86.92,96,1858,3,4,0,0,0,4,16406,16096,180,0,0,0,0,0,0,0,0
5.00,1898.0,86.94,96,1863,3,4,0,0,0,0,0,4,180,0,0,0,0,0,0,0,0
6.00,1668.0,86.98,96,1859,3,4,0,0,0,8,24947,24444,180,0,0,0,0,0,0,0,0
7.00,1735.0,86.97,96,1859,3,4,0,0,0,9,25116,24642,177,0,0,0,0,0,0,0,0
8.00,1848.0,86.97,96,1859,3,4,0,0,0,10,17420,17002,180,0,0,3,86,3,0,0,0
9.00,2016.0,86.97,96,1859,3,4,0,0,0,3,507,456,180,0,0,0,0,0,0,0,0
10.00,2232.0,86.97,96,1859,3,4,0,0,0,6,1014,850,180,0,0,2,9,2,0,0,0
11.00,2272.0,87.11,152,1915,3,18,4,16,14,9,25116,24458,174,0,0,0,0,0,0,0,0
12.13,1842.0,87.11,152,1915,3,18,0,0,0,11,22715,22063,154,0,0,3,25,3,0,0,0
13.13,1813.0,87.11,152,1915,3,18,0,0,0,3,507,400,207,0,0,3,29,3,0,0,0
14.13,2259.0,87.11,152,1915,3,18,0,0,0,5,845,648,180,0,0,4,12,4,0,0,0
15.13,2321.0,87.11,152,1915,3,18,0,0,0,2,338,255,180,0,0,1,2,1,0,0,0
16.13,2298.0,87.34,220,1983,3,35,8,32,17,7,16879,16404,180,0,0,3,74,3,0,0,0
17.13,2016.0,87.34,220,1983,3,35,0,0,0,3,507,401,180,0,0,1,5,1,0,0,0
18.13,2297.0,87.34,220,1983,3,35,0,0,0,5,845,681,180,0,0,2,13,2,0,0,0
19.13,2275.0,87.34,220,1983,3,35,0,0,0,3,507,384,180,0,0,2,9,2,0,0,0
20.13,2292.0,87.34,220,1983,3,35,0,0,0,3,507,394,180,0,0,3,33,3,0,0,0
21.13,2286.0,87.37,232,1995,3,38,2,8,3,4,676,528,180,0,0,2,18,2,0,0,0
22.13,2199.0,87.83,332,2095,3,63,15,60,25,1,168,140,179,0,0,1,4,1,0,0,0
