sample_time_sec,fps,memory_static_mb,node_count,object_count,creature_count,grass_count,grass_spread_per_sec,grass_neighbor_checks_per_sec,grass_spawned_per_sec,grazing_searches_per_sec,grazing_candidate_checks_per_sec,grazing_footprint_queries_per_sec,creature_physics_ticks_per_sec,predator_prey_searches_per_sec,predator_prey_candidates_per_sec,path_calls_per_sec,path_expanded_tiles_per_sec,path_success_per_sec,path_failed_per_sec,path_capped_per_sec,grazing_candidate_unreachable_per_sec
5.00,1513.0,86.94,96,1860,3,4,0,0,0,0,0,6,180,0,0,0,0,0,0,0,0
6.00,1449.0,86.99,96,1860,3,4,0,0,0,9,86,75,180,0,0,0,0,0,0,0,0
7.00,1217.0,87.00,96,1866,3,4,0,0,0,0,0,2,180,0,0,0,0,0,0,0,0
8.00,1135.0,87.03,96,1862,3,4,0,0,0,9,82,71,180,0,0,0,0,0,0,0,0
9.00,1546.0,87.03,96,1876,3,4,0,0,0,13,96,97,180,0,0,1,2,1,0,0,0
10.00,1099.0,87.02,96,1860,3,4,0,0,0,17,122,130,180,0,0,0,0,0,0,0,0
11.00,1275.0,87.02,96,1860,3,4,0,0,0,25,202,216,180,0,0,3,96,3,0,0,0
12.00,1334.0,87.02,96,1860,3,4,0,0,0,9,78,83,180,0,0,0,0,0,0,0,0
13.00,1343.0,87.23,128,1894,3,12,2,8,8,20,394,371,180,0,0,0,0,0,0,0,0
14.01,1326.0,87.23,128,1894,3,12,0,0,0,20,340,339,180,0,0,3,28,3,0,0,0
15.01,1273.0,87.22,128,1894,3,12,0,0,0,6,102,133,180,0,0,0,0,0,0,0,0
16.01,1309.0,87.23,128,1894,3,12,0,0,0,6,150,124,180,0,0,3,97,3,0,0,0
17.01,1251.0,87.23,128,1894,3,12,0,0,0,8,188,160,180,0,0,2,12,2,0,0,0
18.01,1162.0,87.28,148,1914,3,17,2,8,5,10,220,137,180,0,0,4,51,4,0,0,0
19.01,1277.0,87.25,140,1902,2,17,0,0,0,7,192,169,179,0,0,3,30,3,0,0,0
20.01,1244.0,87.26,140,1918,2,17,0,0,0,5,132,145,120,0,0,2,10,2,0,0,0
21.01,1052.0,87.37,141,1926,2,17,0,0,0,2,60,48,120,0,0,2,4,2,0,0,0
22.01,943.0,87.49,189,1952,2,29,5,20,12,3,113,91,120,0,0,2,6,2,0,0,0
23.01,1068.0,87.50,189,1960,2,29,0,0,0,2,72,58,120,0,0,2,6,2,0,0,0
24.01,1072.0,87.56,217,1980,2,36,4,16,7,2,76,58,120,0,0,2,5,2,0,0,0
25.01,820.0,87.56,217,1982,2,36,0,0,0,2,94,71,120,0,0,2,6,2,0,0,0
26.01,1164.0,87.56,217,1984,2,36,0,0,0,1,42,35,120,0,0,0,0,0,0,0,0
27.01,1047.0,87.95,285,2062,2,53,9,36,17,3,113,89,120,0,0,3,66,3,0,0,0
28.01,1064.0,88.04,321,2090,2,62,6,24,9,5,244,204,120,0,0,3,75,3,0,0,0
29.01,1129.0,88.03,321,2085,2,62,0,0,0,3,173,138,120,0,0,2,91,2,0,0,0
